family,n,k,seed,algo,tour_len,offline_opt_lb,competitive_ratio,time_ms,status
A,20,0,0,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,391,OK
A,20,0,0,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,0,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,390,OK
A,20,4,0,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,0,CR,9.912182481308019,6.2573786016092345,1.5840790708682488,407,OK
A,20,6,0,CNN,10.200428092578754,6.2573786016092345,1.6301439855270177,1,OK
A,20,0,1,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,398,OK
A,20,0,1,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,1,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,399,OK
A,20,4,1,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,1,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,456,OK
A,20,6,1,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,2,OK
A,20,0,2,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,428,OK
A,20,0,2,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,2,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,403,OK
A,20,4,2,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,2,CR,8.526589867075785,6.2573786016092345,1.3626456716048743,393,OK
A,20,6,2,CNN,9.078101854944396,6.2573786016092345,1.450783536193534,1,OK
A,20,0,3,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,394,OK
A,20,0,3,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,3,CR,,,,10000,TIMEOUT
A,20,4,3,CNN,10.200428092578754,6.2573786016092345,1.6301439855270177,1,OK
A,20,6,3,CR,,,,10000,TIMEOUT
A,20,6,3,CNN,11.88901934305755,6.2573786016092345,1.9000000000000006,1,OK
A,20,0,4,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,396,OK
A,20,0,4,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,4,CR,,,,10000,TIMEOUT
A,20,4,4,CNN,6.8754125903591286,6.2573786016092345,1.0987688340595136,1,OK
A,20,6,4,CR,10.177506173227492,6.2573786016092345,1.6264808030970195,391,OK
A,20,6,4,CNN,10.51499842211768,6.2573786016092345,1.6804158884382505,1,OK
A,20,0,5,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,390,OK
A,20,0,5,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,5,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,387,OK
A,20,4,5,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,5,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,381,OK
A,20,6,5,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,0,6,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,395,OK
A,20,0,6,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,6,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,390,OK
A,20,4,6,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,6,CR,7.462820788346732,6.2573786016092345,1.1926433197485427,387,OK
A,20,6,6,CNN,7.4857427076979945,6.2573786016092345,1.196306502178541,1,OK
A,20,0,7,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,385,OK
A,20,0,7,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,7,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,389,OK
A,20,4,7,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,7,CR,8.969053351240735,6.2573786016092345,1.4333563497235293,392,OK
A,20,6,7,CNN,9.485742707697995,6.2573786016092345,1.5159291632535243,1,OK
A,20,0,8,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,385,OK
A,20,0,8,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,8,CR,9.620931881084786,6.2573786016092345,1.537533924926731,391,OK
A,20,4,8,CNN,10.05390079537882,6.2573786016092345,1.6067272632014336,1,OK
A,20,6,8,CR,8.526589867075785,6.2573786016092345,1.3626456716048743,386,OK
A,20,6,8,CNN,9.078101854944396,6.2573786016092345,1.450783536193534,1,OK
A,20,0,9,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,385,OK
A,20,0,9,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,9,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,385,OK
A,20,4,9,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,9,CR,,,,10000,TIMEOUT
A,20,6,9,CNN,6.8754125903591286,6.2573786016092345,1.0987688340595136,1,OK
A,20,0,10,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,396,OK
A,20,0,10,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,10,CR,,,,10000,TIMEOUT
A,20,4,10,CNN,6.8754125903591286,6.2573786016092345,1.0987688340595136,1,OK
A,20,6,10,CR,9.336852837244376,6.2573786016092345,1.4921348749527767,391,OK
A,20,6,10,CNN,9.813700826951678,6.2573786016092345,1.5683405866520286,1,OK
A,20,0,11,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,385,OK
A,20,0,11,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,11,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,388,OK
A,20,4,11,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,11,CR,6.875412590359129,6.2573786016092345,1.0987688340595139,386,OK
A,20,6,11,CNN,11.88901934305755,6.2573786016092345,1.9000000000000006,1,OK
A,20,0,12,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,385,OK
A,20,0,12,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,12,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,380,OK
A,20,4,12,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,12,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,392,OK
A,20,6,12,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,0,13,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,389,OK
A,20,0,13,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,13,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,386,OK
A,20,4,13,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,13,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,386,OK
A,20,6,13,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,0,14,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,382,OK
A,20,0,14,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,14,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,391,OK
A,20,4,14,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,14,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,391,OK
A,20,6,14,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,0,15,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,390,OK
